,AB123LG,AB123TW,AL109SL,AL71FS,B191DS,B67EU,B781BF,B782EX,BD112BZ,BH177AG,BN236QH,BS107UB,BS118DT,BS375YS,BT294JT,BT39JN,BT39PF,BT635QD,CA30PP,CA64SE,CB13EZ,CF313BG,CF729EW,CH52NW,CH52UA,CM241FE,CM241QJ,CR04GN,CV107SA,CV230XF,CV34PF,CV65RY,CV92RY,CW122PR,DA15BS,DA26QP,DD24UH,DE554QQ,DE742SE,DE742TG,DE742TR,DE742TZ,DG165JN,DG98RF,DG98RG,DH21AE,DL21NL,DL62PJ,DN147SE,DUBLIN,DY117FL,DY117PT,EH114XX,EH120AL,EH129EB,EH129SB,EH530TN,EX28NY,EX28RL,EX51EW,G328NB,G689HE,G698GD,GL103EZ,GL22AD,HG45NB,IP39SL,LE103BQ,LE103FF,LL651DQ,LN106YQ,LN24JB,LS101RZ,LS150BF,LS277JU,LS286QP,LU11XL,M300SF,M445BP,M905QL,ME80PP,MK150DQ,MK439AA,ML15SQ,ML43LU,NE110UX,NE244RF,NG150DJ,NN141UA,NN36FL,NN49FJ,NN86TZ,NR24HJ,NW10QA,OL164FW,OX163JU,OX51HP,PA48DJ,PH13UG,PL311EP,PL312RQ,PL67BQ,PO144LW,PR58AN,PR77DW,RG18HW,RH109ZX,S601FH,SA54HF,SM39QN,SN34AJ,SO150LP,SS179FD,SS54JH,ST48GR,ST57EF,SY13AS,TF16AH,TN126UU,TN91QF,TS213EE,TS21RA,W30TH,WA119TY,WA14RW,WA54AH,WF129AP,YO266QS
AB123LG,0.0,0.7714320965,508.81063754359997,505.4744345075,421.2252882386,418.5875062065,424.2914434381,425.0354109364,335.3457887399,588.6779997947,612.3665885648,497.6729351912,502.121827277,495.1569418751,631.5626650049,626.9543291205,626.8484475021,606.7431810148,225.1478166884,225.2958272606,486.3490700872,537.541217019,530.2714870045,371.9467154384,372.2106117021,511.466004375,511.3598742082,543.5331597091,438.6719567653,448.38752731,446.5470885451,439.6404256059,427.11824652840005,368.6374177666,544.9465923228,543.424979018,66.0770892368,402.8071682905,421.237342836,422.15523207719997,420.5069212255,421.8597080296,217.59989887720002,223.7719770202,222.4163319095,254.0472848016,284.4476124282,299.9986023081,372.2983492873,134.8396817985,434.8886151576,434.8592864464,119.3469143813,115.0446658515,117.9611327771,116.5247094364,122.4398506709,578.5110032185,575.8279232405,575.8973303811999,142.9807603663,133.0409370277,135.6147178468,473.3389905005,474.5724740726,318.4051026185,544.2432003508001,435.43187982290004,438.17492210240005,449.521529385,428.4924084949,409.78901712069995,353.0234830044,351.94757911790003,338.07292392180005,334.4719547026,500.560321954,341.47586220330004,345.7209446011,353.2379181365,564.8057958941,483.80971322150003,486.8672313641,138.5314333208,144.6862994871,249.0793615195,238.0394008254,403.5876102665,460.01418650230005,469.6330095823,467.8002136807,478.0122596544,505.5409833416,532.2382504937,350.8260044629,467.75907892050003,489.9914847521,151.5101958091,81.16074598760001,638.712221868,637.0193587156,617.6714813402,567.3322903801,318.8339107456,323.0384176171,519.4087413196,570.359547755,381.14263341580005,512.9306379591,556.7526413228001,495.4693672139,561.2823116386,545.3842239181,544.0254719524,380.98729066580006,374.8660406706,398.4872106872,405.9434762759,566.8557609602,567.3169425164,270.7500479671,280.08832204059996,532.1149083501999,336.6128884831,345.7348633115,344.5735209125,362.8407098447,324.0359666205
AB123TW,0.7549036279000001,0.0,508.4691941791,505.132991143,420.8839070112,418.2461249791,423.9500000736,424.69396757190003,335.0044075125,588.3366185673001,612.0251452003,497.33155396380005,501.7804460496,494.8154985106,631.2212837775,626.6129478931,626.5070041376,606.4017997874,224.8063733239,224.9544460332,486.00762672269997,537.1998357916,529.93004364,371.605334211,371.8692304747,511.12456101050003,511.0184308437,543.1917163446,438.33051340080004,448.0461460826,446.2057073177,439.2990443785,426.7768031639,368.2959744021,544.6050868212,543.0835356535,65.7356458723,402.465724926,420.8959616086,421.8137887127,420.165477861,421.5182646651,217.25851764979998,223.4305336557,222.074888545,253.7058414371,284.1062312008,299.6571589436,371.95690592280005,134.498238434,434.5471717931,434.517905219,119.0054710168,114.703222487,117.61975154970001,116.183328209,122.09846944350001,578.1696219911,575.4865420131,575.5559491538,142.6393170018,132.6994936632,135.2732744823,472.997547136,474.2310307081,318.063659254,543.9017569863,435.0904364584,437.833540875,449.1801481576,428.15096513040004,409.4475737562,352.68203963990004,351.6061357534,337.73154269440005,334.1305113381,500.2189407266,341.13441883880006,345.37956337369997,352.8965369091,564.4643525296,483.468269857,486.52578799959997,138.1899899563,144.3448561226,248.73791815500002,237.69795746090003,403.246166902,459.6727431378,469.2916283549,467.45883245330003,477.670878427,505.1995399771,531.8968071291999,350.4846232355,467.417635556,489.65004138759997,151.16875244460002,80.8193026231,638.3707785035,636.6779153511,617.3301001128001,566.9909091526999,318.49246738109997,322.69703638970003,519.0672979551,570.0181043905,380.8011900513,512.5892567317,556.4112600954,495.1279859865,560.9409304111999,545.0427805536,543.6840285879,380.6459094384,374.5245973061,398.14582945980004,405.60203291140004,566.5143797328001,566.9754991519001,270.4086046026,279.7468786761,531.7735892599001,336.2714451186,345.393419947,344.232077548,362.4992664802,323.694523256
AL109SL,508.0733808521,507.5954222789,0.0,4.7968598458,99.5917904525,99.2394109584,89.50171960610001,91.3982060352,175.12763759970002,122.9350212208,97.8667402823,132.50811139520002,136.95700348100002,124.74221663720002,435.90778787180005,431.29951412450004,431.193570369,411.08830388169997,284.92060003340004,285.0686106056,39.5910260876,178.9138996511,171.6441696366,192.1732111459,192.4371695467,31.1546098835,31.048479716699998,33.685143281,82.3586871385,68.8469126064,76.1835642776,78.0189078003,86.23803056570002,152.2145198376,45.652748741,44.1311975733,443.14172691669995,121.4086233593,100.4244275925,97.35665682839999,98.7040377048,97.0611949179,291.24360919229997,384.825002236,386.4052108261,245.9730036163,221.93141398109998,206.78785706590003,162.5904834811,556.4643251788001,123.4822005234,123.45287181220002,354.73759704500003,357.6587242531,355.25401848309997,356.18029623280006,372.81446003990004,191.5335718385,188.8504918605,182.9215561898,371.6687761901,376.18272581959997,373.0435595276,112.1944992116,113.4279827837,193.1857973275,80.3809875197,77.6275062074,75.7342509075,253.866714389,114.3391612181,124.50696557660001,169.588922917,171.7155651645,172.7801600988,176.6459576382,14.922535250500001,183.9128914832,176.4684319435,172.56336375690003,65.5120144494,32.9787065911,37.6901279244,372.2955531178,367.9446512387,251.0540785575,267.2480010111,115.5325663607,69.6806682142,53.7956292847,49.820221900899995,59.1845314193,100.46897989320001,21.610289186400003,197.8413574079,65.0495280141,68.157563619,383.00923189980006,424.8780176621,251.7347283509,250.0418651985,230.6940499602,101.58931180620002,198.3569089266,198.3514408618,55.7828980169,71.8928111113,145.2528034278,206.1121161034,58.2859668162,95.9296783269,95.53939520179999,46.090442473399996,52.228655896899994,139.1747387171,141.8968407939,141.00132090870002,131.4897464633,67.5619795155,68.0231610717,231.8909969175,222.3473597285,22.2669540592,180.5390955016,172.7124306598,178.7947206933,170.0459412875,181.329727962
AL71FS,505.34077760540004,504.8628190322,4.1198140042,0.0,107.28486052929999,106.93248103520001,97.1947896829,99.0912139749,172.395034353,124.74942454079999,100.23192685670001,134.32251471520001,138.771406801,126.55661995720001,443.6007958115,438.9924599271,438.8866404458,418.78131182140004,282.1879967867,282.336069496,36.858484978,180.7283029711,173.4585729566,199.86628122270002,200.13017748640002,27.3220556926,27.215925525800003,36.0503298554,90.05169507820001,76.5399205461,83.8765722173,85.71197787710001,93.9310385054,159.9075899144,48.017935315399995,46.4963841477,440.40912367,129.1016934361,108.1174355322,105.0497269052,106.3971077816,104.7542028576,288.5110059456,382.0923989893,383.6726697165,243.2404003696,219.19887287150001,204.0552538192,159.8578802344,553.7317219321,131.1752084631,131.145941889,352.00499379830006,354.9261831435,352.5214152364,353.4476929861,370.08185679319996,193.34791302140002,190.66483304340002,184.7358973727,368.93617294340004,373.45018471000003,370.31095628090003,114.0088403945,115.24238610370001,190.45325621790002,76.5484333288,85.3205141471,83.42725884720001,261.5597223287,111.6065579714,121.7743623299,166.85638180740003,168.9829619178,170.0475568521,173.9133543915,15.8059384012,191.60596156,184.16143988320002,180.25637169659998,67.8772010238,40.6717145308,34.9575246777,369.5629498711,365.212047992,248.3214753108,264.5153977644,123.2255743004,66.9480649675,61.488699361500004,57.5132919777,57.669318235800006,97.73643878360001,23.975475760800002,195.1087541612,72.7425359538,69.971966939,380.2766286531,422.1454765525,253.5491316709,251.8562685185,232.5083911431,103.40371512620001,206.0499790034,206.04451093859998,57.597301336899996,73.7072144313,142.6253982914,207.9264572863,60.1003079991,97.7440816469,97.35379852179999,48.4556290478,54.5938424713,146.8677466568,149.5899108707,148.6943288484,139.1828165401,69.9271660899,70.3883476461,229.1583936708,219.6147564818,24.6321406336,188.23210344129998,180.4054385995,186.48772863300002,171.3386415159,178.5971247153
B191DS,421.0951110141,420.6170903038,99.4180551209,108.0072043168,0.0,2.3156011686,18.245440947200002,16.4798773878,121.4682128382,172.98738732729998,196.6759139603,83.47982683379999,87.9287189196,80.96377138060001,341.5868390639,336.9785031795,336.8726215611,316.7673550738,197.94233019540002,198.0903407676,99.1142047019,123.34810866160001,116.07831651000001,97.852262338,98.11615860170001,124.23113898970001,124.1250088229,127.8424851046,22.981220023699997,32.6968527055,30.8564139406,23.949751001400003,21.0722440375,68.3623675006,142.1778247601,140.6562735924,356.1633949416,55.3663308985,38.926407666,39.699206778699995,38.4514316736,39.4037448682,204.26533935429998,297.84673239800003,299.4269409881,197.8232133747,173.7816237395,158.6380046872,114.3784940024,469.4859932037,20.6538128061,20.6244840949,287.7026022746,290.6237294827,288.2190237127,292.7329112051,285.8361902019,164.3178948611,161.6348148831,161.7041598867,284.6905063521,289.2044559816,286.0652275525,59.145820006,60.37930357810001,145.0360070859,157.0083349655,31.0783055247,31.3254247714,159.545703444,104.06050427320001,92.07158578789999,115.90072867820001,118.02737092570001,119.12073533729999,122.98647073960001,84.8696473495,89.59194267529999,82.1474209985,78.24241494900001,162.0370904685,68.1189764799,79.6509387318,285.3172832798,280.9663192636,202.9042261788,219.0981486324,57.8910855457,55.317988234699996,53.9423349778,52.1095390762,62.321585049899994,159.0583621687,116.5475758892,105.3737097446,52.0683421789,74.3008101476,296.0308999247,337.8997478241,224.5190513735,222.82618822109998,203.4783729828,151.6416157756,104.0359601187,104.0304920539,103.71806671510001,154.6688731505,87.6113226128,138.6587522387,141.0619667183,81.27619671939999,145.59169917120002,142.6155184925,148.753731916,45.3720754603,47.575891986,46.6803099637,37.1687976554,164.08705553459998,164.5482370908,183.7411445388,174.1975073498,116.4242958828,86.2180845566,78.39141971480001,84.4737097483,112.4044604725,133.1798755833
B67EU,420.8149348302,420.336976257,99.0510734083,107.6402226042,2.3782975025,0.0,17.8784592346,16.1128335381,121.10123112560001,172.6203434776,196.3088701106,86.78197873910001,91.2308708249,84.265985423,341.30666288000003,336.6983269956,336.59244537719997,316.4871788899,197.6621540115,197.8102267208,98.7472229893,126.6502605669,119.3805305524,97.5720861541,97.8360445549,123.8641572771,123.75802711029999,127.4754412549,22.6142383111,32.3298709929,30.489432228000002,23.5827692888,20.7052623249,68.0821913167,141.81084304750001,140.2892297427,355.8832808948,54.525367387100005,38.5594259534,39.3322250661,38.084449961,39.0367631556,203.9852253075,297.5665562141,299.1468269413,197.456169525,173.4145798898,158.27102297460002,114.01145015270001,469.20581701980007,23.9976587055,23.968329994300003,287.4224260907,290.3436154359,287.93890966590004,292.4527971583,285.556014018,167.6200467664,164.93702892550002,165.0063739291,284.4103301682,288.9242797977,285.7851135057,62.4479719113,63.6814554834,144.6689632362,156.6413532529,30.711323812099998,30.958380921699998,159.26558939720002,103.6935225606,91.7046040753,115.5337469656,117.660327076,118.75369148760001,122.619489027,84.50266563689999,89.3118286285,81.8673069517,77.96223876510001,161.6700466188,67.7519947673,79.2839570192,285.037169233,280.6862052168,202.53718232909998,218.7311669198,57.524041696,54.9510065221,53.5753532652,51.742495226500004,61.9546033373,158.6913804561,116.18059417660001,105.09353356070001,51.7013604663,73.9337662979,295.7507858779,337.6195716402,227.82126541590003,226.1284022635,206.7805248881,151.274634063,103.7557839348,103.75031587000001,103.3510228654,154.3018914379,87.2442787631,141.9609662811,140.6949850057,84.5784107618,145.2247174586,142.2485367799,148.3867502034,45.0918992764,47.295715802100005,46.400195916899996,36.8886214715,163.720073822,164.18119324109998,183.3741628262,173.8305256372,116.05731417020002,85.9379705098,78.111305668,84.1935957015,112.0374787599,132.8128938707
B781BF,424.70422019340003,424.2262616202,89.2916962081,97.880845404,18.0438060577,17.6914265636,0.0,3.0381935045,106.0082538098,173.1201121729,196.808700943,102.0890183644,106.53797258729999,99.5730250483,349.12953735869996,344.5212014743,344.4153198559,324.3100533686,201.5514393747,201.699512084,90.5194010299,141.95730019220002,134.6875701777,101.4613715173,101.7253299181,115.6363353177,115.5302051509,117.71606405470001,13.2940461337,24.6784327731,31.034871691800003,24.1282087526,4.0054817402,71.9714766799,132.0514658473,130.5298525425,359.772566258,48.3071835159,23.4664486376,24.239247750300002,22.9914726452,23.943785839800004,207.8744485336,301.4558415773,303.0361123045,182.36325434629998,158.3216647111,143.1780456588,98.918534974,473.0951645201,42.8652162979,42.8358875867,291.31171145390005,294.2329007991,291.8281950291,296.3420825215,289.4452993812,182.9271485288,180.2440685508,180.3134756915,288.29961553140004,292.8135651609,289.6743988689,77.75501153660001,78.98855724580001,129.5760480575,148.4135312935,12.319052897599999,15.0621573142,167.0884017388,88.60060738189999,76.6116888966,100.44083178689999,102.56741189729999,103.6607763089,107.52657384829999,74.7432884367,93.20105185460001,85.7565923149,81.8515241283,151.9106694186,57.992617567100005,69.524579819,288.9263924591,284.57549058,187.4442671504,203.6382517411,42.4311265173,46.7231845627,45.347531305800004,41.983118026300005,53.7267813779,150.46355849670002,106.4211548393,108.9828189239,52.20112916160001,74.4335349932,299.6400712411,341.5089191405,243.1283050412,241.4354418888,222.0876266505,151.7744027583,107.645069298,107.63960123320001,103.8507915607,154.80166013320002,72.1513635844,157.2680059064,141.194753701,99.88545038710001,145.7244861539,132.48915957970002,138.6273730032,48.9811846396,51.1850011653,53.0783186023,43.5667441569,153.9606966218,154.4218160409,168.2812476475,158.7376104585,106.29787483289999,89.827255873,82.0005910312,88.0828810647,96.9445014441,117.7199165549
B782EX,425.3741824056,424.89622383240004,97.86021588679999,106.44936508270001,16.307509072400002,15.9551295783,3.4341932428,0.0,106.6782781591,171.3838151876,195.0723418206,100.3527213791,104.801675602,97.836728063,349.7994995709,345.19116368650003,345.0852820681,324.9800155808,202.22146372400002,202.36947429620002,97.55636546779999,140.221065344,132.9512731924,102.1313958666,102.39529213029999,122.67329975560001,122.5671695888,126.2846458705,21.4233807896,31.139013471400002,29.298574706500002,22.3919117673,6.261058470200001,72.6414388921,140.619985526,139.09843435829998,360.4425284702,48.9772078652,24.1364108498,24.9092720996,23.661496994500002,24.613748052000002,208.5444728829,302.1258659266,303.7060745167,183.03321655850002,158.9916269233,143.848007871,99.58849718620002,473.7651267323,41.128919312600004,41.099590601399996,291.9816736661,294.9028630113,292.4981572413,297.0120447337,290.1152615934,181.1908515435,178.5077715655,178.57711656909999,288.9695777436,293.4835273731,290.3443610811,76.0187766884,77.2522602605,130.2460102697,155.4504957314,14.574629627599998,17.3177340442,167.758363951,89.27056959410001,77.2816511088,101.11079399910001,103.2373741095,104.3307385211,108.19653606050001,83.3118081154,93.8710762039,86.42655452710001,82.5214863405,160.4792512344,66.5611372458,78.0930994977,289.5964168084,285.2454527922,188.11422936259999,204.3082139533,43.1010887295,53.7601490006,52.3844957437,50.55169984210001,60.7637458158,157.5005229346,114.9897366551,109.6528432732,50.4648321763,72.6972380079,300.3100334533,342.1788192156,241.39200805590002,239.6991449035,220.3513296652,150.038105773,108.31509364729999,108.3095634454,102.1144945754,153.0653631479,72.82132579660001,155.5317710582,139.4584567157,98.14915340179999,143.9881891686,141.0576792584,147.1958926819,49.651208988899995,51.8550255146,53.7482808145,44.236706369100006,162.5292163005,162.9903978567,168.95120985970001,159.4075726707,114.86645664870001,90.4972180852,82.6705532434,88.7528432769,97.61452579339999,118.3898787671
BD112BZ,335.6694608938,335.19150232059997,175.8876364698,172.5514334337,121.4813237663,121.1288821351,105.7594568614,106.5033622226,0.0,267.1626867728,264.2375206532,205.52653607300002,209.97542815879999,203.0105427569,336.8266401071,332.2183042227,332.11242260430004,312.007156117,112.51668007510001,112.6647527844,153.4260690134,245.3948179008,238.1250257492,77.2106284035,77.4745868043,178.5430033012,178.43687313440003,207.17478478759998,116.7735063848,115.76539407439999,122.7561285099,120.4115714527,105.0560648894,60.4446096702,212.023591249,210.5019779442,270.73780695840003,64.2726899899,84.4775622485,83.62075377660001,84.96819679010001,83.3252918661,118.83975137110001,212.4210822777,214.0013530049,101.36971929479999,77.3280675225,62.184510607300005,39.099397352400004,384.0604052205,140.1525281227,140.1232615486,202.2769521543,205.1981414995,202.7934357295,207.3072610848,200.41054008159998,286.36460410029997,283.6815241223,283.750931263,199.2648562318,203.7788058613,200.6396395693,181.1925292452,182.4260128173,48.582513006,211.320199277,111.16662730339999,110.9648060026,154.7855044872,95.56940742110001,76.8660160469,10.5177605057,14.2955719115,3.3492518271000002,5.1467538559,164.2020091696,39.895994974400004,42.8816204923,47.9556118041,231.8827948203,147.4513383,153.9442302903,199.89169529659998,195.54073128040002,106.45066996179999,122.6446545525,65.0531319659,127.0911854285,133.2153558674,131.4418387592,141.5946059395,172.6179822678,195.8798755722,24.859748830900003,151.88432328820002,167.5301965198,210.6053119415,252.47415984090003,346.5658227498,344.8728974603,325.5251443591,245.8169773582,55.8688957633,52.3354074347,197.89336616059998,237.67540169359998,35.532292852699996,218.1946130613,224.0685573985,188.3428317535,239.7670607538,212.4612849814,211.1024708786,86.251265768,80.1299536357,103.7511857894,111.207389241,233.9328220235,234.39394144259998,87.2876504589,77.7440132699,195.75659556579998,53.638360284600004,47.762924657,51.8880824518,7.3254048561000005,36.7263815034
BH177AG,587.8029230154,587.3249023051,121.4662865881,124.8336824484,171.978715783,171.6262741518,172.9382368812,171.1726733218,266.7868194549,0.0,119.9857459064,79.32658306980001,83.7754751556,71.5516162952,508.29471320230004,503.6863773179,503.5804335624,483.4751670751,364.65020433380005,364.798214906,159.5484996135,125.73237132570002,118.4626413112,264.56013647640003,264.8240327401,153.1393062969,153.0331761301,110.6266559044,163.29785222750002,156.5240384081,154.0878291284,154.206883812,175.76503997150002,235.07017950190001,134.7883565539,135.7336482562,522.87126908,209.085749161,188.1015533942,185.03378263009998,186.38122564359998,184.73832071959998,370.9731513556,464.5546065364,466.13481512650003,343.14181999140004,319.10023035620003,303.95661130390005,259.6971006191,636.193805205,161.3463744649,161.55092979810001,454.4104142759,457.3316036211,454.926835714,459.4407853435,452.54406434030005,82.04408700120001,79.3610070232,73.4320713525,451.39831835340004,455.9122679829,452.77310169090003,97.33161557710001,98.3252499432,290.3546137026,201.0039493866,164.65163322520002,163.4113767092,326.2535775824,234.29663474400002,228.4966335558,261.2193352949,263.3459775424,264.439341954,268.3051394934,126.51784640679999,256.29981681370003,248.85529513690003,244.9502269503,147.3421012782,141.8755277686,144.3349763237,452.0250952811,447.674193402,348.2228327955,364.4167552491,203.20969216240002,156.4201451769,141.4398224234,137.0093850563,150.3642012738,220.4264534191,110.8446328512,272.081583883,122.1720397699,103.161256162,462.7387740631,504.6075598254,142.2453056507,140.5524424983,121.2045651229,45.5049867172,270.7438342571,270.7383040552,78.4552966536,113.9079297441,232.9299292295,152.9305256409,107.0395432585,94.7508132657,32.52255814,147.85901981310002,159.565587316,212.07988746159998,214.28376612440002,213.38818410209998,203.8766717938,140.1842180437,134.4809021831,329.0597511555,319.5161761036,105.2734204652,252.925958695,245.0992938532,251.18158388670003,257.7230670892,278.4984822
